2024-12-05 13:20:24.256 [main] INFO  com.apiTests.requests.serviceRequests.user_controller.LoginTests - Response received: User is unauthorized
2024-12-05 13:20:24.272 [main] INFO  com.apiTests.requests.serviceRequests.user_controller.LoginTests - Status Code: 401
2024-12-05 13:20:24.272 [main] ERROR com.apiTests.requests.serviceRequests.user_controller.LoginTests - Unexpected content type: text/plain;charset=UTF-8
2024-12-05 13:20:24.272 [main] INFO  com.apiTests.serviceSteps.serviceTestSteps.userController.LoginSteps - The system has not logged in with a valid username and invalid password
2024-12-05 13:20:24.758 [main] INFO  com.apiTests.requests.serviceRequests.user_controller.LoginTests - Response received: User is unauthorized
2024-12-05 13:20:24.758 [main] INFO  com.apiTests.requests.serviceRequests.user_controller.LoginTests - Status Code: 401
2024-12-05 13:20:24.758 [main] ERROR com.apiTests.requests.serviceRequests.user_controller.LoginTests - Unexpected content type: text/plain;charset=UTF-8
2024-12-05 13:20:24.758 [main] INFO  com.apiTests.serviceSteps.serviceTestSteps.userController.LoginSteps - The system has not logged in with a valid username and invalid password
2024-12-05 13:20:25.716 [main] INFO  com.apiTests.requests.serviceRequests.user_controller.LoginTests - Response received: User is unauthorized
2024-12-05 13:20:25.716 [main] INFO  com.apiTests.requests.serviceRequests.user_controller.LoginTests - Status Code: 401
2024-12-05 13:20:25.716 [main] ERROR com.apiTests.requests.serviceRequests.user_controller.LoginTests - Unexpected content type: text/plain;charset=UTF-8
2024-12-05 13:20:25.716 [main] INFO  com.apiTests.serviceSteps.serviceTestSteps.userController.LoginSteps - The system has not logged in with a valid username and invalid password
2024-12-05 13:20:26.016 [main] INFO  com.apiTests.requests.serviceRequests.user_controller.LoginTests - Response received: User is unauthorized
2024-12-05 13:20:26.016 [main] INFO  com.apiTests.requests.serviceRequests.user_controller.LoginTests - Status Code: 401
2024-12-05 13:20:26.016 [main] ERROR com.apiTests.requests.serviceRequests.user_controller.LoginTests - Unexpected content type: text/plain;charset=UTF-8
2024-12-05 13:20:26.016 [main] INFO  com.apiTests.serviceSteps.serviceTestSteps.userController.LoginSteps - The system has not logged in with a valid username and invalid password
2024-12-05 13:20:26.267 [main] INFO  com.apiTests.requests.serviceRequests.user_controller.LoginTests - Response received: User is unauthorized
2024-12-05 13:20:26.267 [main] INFO  com.apiTests.requests.serviceRequests.user_controller.LoginTests - Status Code: 401
2024-12-05 13:20:26.267 [main] ERROR com.apiTests.requests.serviceRequests.user_controller.LoginTests - Unexpected content type: text/plain;charset=UTF-8
2024-12-05 13:20:26.267 [main] INFO  com.apiTests.serviceSteps.serviceTestSteps.userController.LoginSteps - The system has not logged in with a valid username and invalid password
2024-12-05 13:20:26.596 [main] INFO  com.apiTests.requests.serviceRequests.user_controller.LoginTests - Response received: User is unauthorized
2024-12-05 13:20:26.596 [main] INFO  com.apiTests.requests.serviceRequests.user_controller.LoginTests - Status Code: 401
2024-12-05 13:20:26.596 [main] ERROR com.apiTests.requests.serviceRequests.user_controller.LoginTests - Unexpected content type: text/plain;charset=UTF-8
2024-12-05 13:20:26.596 [main] INFO  com.apiTests.serviceSteps.serviceTestSteps.userController.LoginSteps - The system has not logged in with a valid username and empty password
2024-12-05 13:20:27.415 [main] INFO  com.apiTests.requests.serviceRequests.user_controller.LoginTests - Response received: {"user":{"name":"Sistem Yöneticisi","surname":"ASELSAN","username":"aselsan","detail":{"identityNumber":null,"email":null,"phoneNumber":null,"rank":null,"profilePicture":null,"supervisor":{"name":null,"surname":null}},"pushToken":null,"userLevelId":5,"userLevelName":"Aselsan","id":10},"tokenDetails":{"accessToken":"eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzUxMiJ9.eyJzdWIiOiIxOSIsImF1ZCI6ImFjY2VzcyIsInVzciI6IlNpc3RlbSBZw7ZuZXRpY2lzaSBBU0VMU0FOIiwiaXNzIjoiYXNlbHNhbi5rYXJkZWxlbiIsInJqdGkiOiJkNTBkNDRkMC01NzZiLTRhOWItODJjZS03M2IyNTM5NzdmM2QiLCJleHAiOjE3MzMzOTQ2MjUsImlhdCI6MTczMzM5NDAyNSwianRpIjoiYTVhMjY2YjEtMDMzYy00ODlkLTkyNDQtYTk1MTc1NTc3ZDI5In0.GunmyGOFXXA6Yj2BGj0yXqf8xleaeS_YclvhWLi2tIk8e1KAaM-hBJ5lg1C89EpZVJcouZmzG5qUNxBixky9mQ","refreshToken":"eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzUxMiJ9.eyJzdWIiOiIxOSIsImF1ZCI6InJlZnJlc2giLCJpc3MiOiJhc2Vsc2FuLmthcmRlbGVuIiwiZXhwIjoxNzMzNDMwMDI1LCJpYXQiOjE3MzMzOTQwMjUsImp0aSI6ImQ1MGQ0NGQwLTU3NmItNGE5Yi04MmNlLTczYjI1Mzk3N2YzZCJ9.jgh6oGqSgrdgOUXZLjBt4RLid06R2g2Gs6flR_JJKGiImGwVhouL6Cq8MhTREC1t-1HBdqnwiK55GOc2Wzz4tA"},"authorities":["right.detection.createdetection","right.detection.map","right.detection.detail","right.detection.detail.read","right.detection.detail.update","right.detection.filter","right.detection.sort","right.detection.sosmessage","right.task.filter","right.task.sort","right.task.detail","right.task.detail.read","right.task.detail.starttask","right.sensor.list","right.sensor.map","right.sensor.filter","right.sensor.sort","right.profile.read","right.detection","right.task","right.sensor","right.profile","right.detection.incominglist","right.task.outgoinglist","right.detection.outgoinglist","right.task.incominglist","right.task.attachments.list","right.alarm","right.alarm.list","right.alarm.map","right.alarm.filter","right.profile.usermanagement","right.profile.usermanagement.groupauthorization","right.profile.usermanagement.usergroup","right.sensor.detail","right.sensor.detail.read","right.sensor.detail.livestream"]}
2024-12-05 13:20:27.415 [main] INFO  com.apiTests.requests.serviceRequests.user_controller.LoginTests - Status Code: 200
2024-12-05 13:20:27.989 [main] INFO  com.apiTests.serviceSteps.serviceTestSteps.userController.LoginSteps - The system has been logged in with a valid username and password
2024-12-05 13:20:27.989 [main] INFO  com.apiTests.serviceSteps.serviceTestSteps.userController.LoginSteps - The username in the response matches the request
2024-12-05 13:20:28.006 [main] INFO  com.apiTests.requests.HelperMethod - The content was successfully written to the file: src/test/resources/txtFiles/accessToken.txt
